target,ids,user,text
0,2177567644,sarahtheminx640,CAN'T DO THIS STUPID EXAM TOMORROW! Actually on the verge of a breakdown right now   
1,1881994767,sebmartin,@mmoris Big ice-cold beer pitcher ... free 
1,1834150616,Kellosaurousrex,just might be paranoid 
1,1881739999,BeccaLCook,@Flbreeze88 another vacation? dang girlie 
1,2015968767,catiams,@tommcfly wanna know something random but cool? the initials of Motion In The Ocean (MITO) mean &quot;legend&quot; in Portuguese  awesome album! x
1,2015028434,SarahSaner,@carolemoyes Lol Exactly! Dont worry we can have intellectual debates on here &amp; all will be well  BB debates to follow xxx
0,1985032336,DannyBrener,Sad day... @Aaron2AJ and I moved out of our loft...  there was so much dookies
0,1998811474,kaseyw4,@flarfu Shouldn't you be cleaning and not watching movies? Dad wouldn't even let me in the house yesterday    Thanks for the mattress!!
1,1969492946,khrystar,says d pa pla co kumakaen ng lunch. BRB.  http://plurk.com/p/x58sy
0,1752286434,sferrazza_s,@heatherpayne I got in a car accident  cuz some guy ran through a stop sign onto a main intersection. Luckily I only got a concussion.
1,1962244209,adhill,@kayakchick @bencurry I'm VERY safe!  and mine's not an acronym! LOL
1,1965297890,undressjess,@TMetzger25 Hey!  I got those earbuds you sent!  I will email you your info!   Thanks again!
1,2190512399,xoxostephtan,@missvainjakarta stay tuned for more adventures abroad!  I might be going to Amsterdam next month for Sensation White.... 95% chance!
1,1753887200,robyoungrob,Man i hate church. Has to be done though. I like the way it makes other people feel good 
0,2213707764,consciousbean,is struggling to find Trance Nation America on vinyl. 
1,2189698200,hawaiikaos2,This one is Oli's choice: http://bit.ly/rqywq This is mine: http://bit.ly/19PNtJ There is still some debate  + NM might be in the mix
0,2188634537,NoahReich,I'm seriously this girl on Obsessed! I have ALL of her fears 
1,1833367010,dharshana,@rmilana Thank you thank you!!!  @cheth lol 
0,2234223516,confusedkate,Thinking of Jin. Feeling sad 
1,2190291518,anthonyrojas,will be sending currency to @Pseudonym_Alias tomorrow as well 
0,2001038725,sieyeyai,@elecons yum! my pantry is empty 
1,1557859898,melanie_susan,Waking up to Laura Veirs. Not bad. 
1,2183176895,destroyerofwrld,"is back in the 'burgh with some sunburn. Annnd...everywhere you go, all you see is black and gold  Pitt = &lt;3"
0,2005593392,KComer,@HitzProductions thats not fair tho  u cnt put us all down!! lol
0,2243003593,BabyBola,watching Disney movies makes me miss Disneyland 
0,1973398949,chassboy,@MikeLewisLP sorry mike for the final match  iï¿½ve seen the final and chelsea didnï¿½t deserve the cup...have a greet weekend!!
1,1827542217,AsianRehab,Hi @nbc: Found you through @MrTweet. You have great programming! Please save Chuck 
0,1979509684,fidelement_vrai,-cant sleep worth a nothing!  ugh! i wonder if fresh prince is on!
0,2013141227,Spellypants,has nothing interesting to say. 
0,2001956560,eeza_ortile,says i need a taxi asap...  http://plurk.com/p/xuex4
1,2052729021,myohmylinh,Just got carne asado fries at roberto's after chilling at the lambda house and on our way to psi chi's 
